loci,chi^2,df,Pr(chi^2 >),Pr.exact
158510:85:+,203.7049834,1,0,0
158510:86:+,15.32264598,1,9.06E-05,0.004
158510:114:+,40.39976426,1,2.07E-10,0
158510:119:+,22.88637018,1,1.72E-06,0
158510:124:+,216.9417676,1,0,0
158510:196:+,208.8153114,1,0,0
158510:232:+,52.60669202,1,4.07E-13,0
158510:272:+,24.24299391,1,8.49E-07,0
158510:280:+,27.42250185,1,1.64E-07,0
158510:284:+,43.22248742,1,4.89E-11,0
158563:87:+,51.0407531,1,9.05E-13,0
158563:118:+,56.2050406,1,6.53E-14,0
158622:8:-,16.59807956,1,4.62E-05,0
158622:14:-,16.59807956,1,4.62E-05,0
158622:35:-,3.693395165,1,0.054628311,0.096
158622:95:-,3.693395165,1,0.054628311,0.078
158622:134:-,12.72358794,1,0.000361072,0
158622:195:-,10.50733638,1,0.001189015,0.004
158622:212:-,14.05963281,1,0.000177104,0.006
158622:247:-,18.69249109,1,1.54E-05,0
158702:22:-,87.07324518,1,0,0
158702:37:-,114.0196721,1,0,0
158702:77:-,14.97005829,1,0.000109231,0.005
158702:92:-,129.729202,1,0,0
158702:118:-,47.86959475,1,4.56E-12,0
158702:121:-,117.5959294,1,0,0
158702:123:-,25.68635791,1,4.02E-07,0
158702:137:-,83.61223335,1,0,0
158768:31:-,6.723442291,1,0.00951538,0.018
158768:75:-,5.515632348,1,0.018847259,0.034
158768:93:-,8.995280021,1,0.002706778,0.006
158768:106:-,7.051544568,1,0.007919693,0.03
159550:89:-,43.29977082,1,4.70E-11,0
159550:94:-,113.5186215,1,0,0
159550:106:-,15.51136566,1,8.20E-05,0.001
159550:122:-,37.67593979,1,8.35E-10,0
159550:134:-,0.030229625,1,0.861970233,0.762
159638:8:+,47.57080927,1,5.31E-12,0
159638:17:+,53.88805656,1,2.12E-13,0
159638:59:+,58.02932854,1,2.59E-14,0
159638:76:+,38.26806421,1,6.17E-10,0
159638:95:+,1.949056917,1,0.162688513,0.136
159638:103:+,60.91838734,1,6.00E-15,0
159638:111:+,62.96997468,1,2.11E-15,0
159638:138:+,45.95693873,1,1.21E-11,0
159833:29:-,164.5387383,1,0,0
159833:135:-,164.5387383,1,0,0
160182:36:+,145.7409693,1,0,0
160182:52:+,156.4905039,1,0,0
160182:146:+,55.69573121,1,8.46E-14,0
160182:150:+,181.779644,1,0,0
160182:182:+,191.0858734,1,0,0
160182:192:+,43.8764065,1,3.50E-11,0
160182:223:+,181.9654274,1,0,0
160438:45:-,100.1749068,1,0,0
160438:69:-,83.8610983,1,0,0
160438:70:-,65.76558614,1,5.55E-16,0
160438:71:-,65.76558614,1,5.55E-16,0
160438:141:-,37.95117881,1,7.25E-10,0
160438:169:-,67.00755348,1,2.22E-16,0
160438:172:-,115.9533782,1,0,0
160438:207:-,67.00755348,1,2.22E-16,0
160618:31:+,11.68111484,1,0.000631377,0.005
160618:46:+,1.4782431,1,0.224049608,0.243
160618:78:+,11.68111484,1,0.000631377,0.005
160618:79:+,11.68111484,1,0.000631377,0.009
160618:95:+,0.37435857,1,0.540638007,0.636
160618:104:+,4.992729533,1,0.025454027,0.035
160618:117:+,12.773565,1,0.000351552,0
160618:149:+,0.196178216,1,0.657823527,1
160618:154:+,12.09004458,1,0.000506918,0.005
160618:162:+,1.95721002,1,0.161812016,0.182
160618:198:+,0.005593332,1,0.940382926,1
160618:209:+,5.833545772,1,0.015723401,0.021
160618:212:+,8.402264808,1,0.003747538,0.01
160665:14:+,202.6216696,1,0,0
160665:68:+,21.28335247,1,3.96E-06,0
160665:105:+,0.88208878,1,0.347630217,0.383
160942:37:+,52.8091128,1,3.68E-13,0
160942:53:+,2.163249012,1,0.141345546,0.176
160942:66:+,13.66541351,1,0.000218441,0.001
160942:87:+,12.57747399,1,0.000390424,0.003
160942:88:+,15.04507708,1,0.000104974,0.001
160942:89:+,16.21862376,1,5.64E-05,0.001
160942:105:+,37.30317865,1,1.01E-09,0
160991:12:-,6.783974481,1,0.009197986,0.009
160991:23:-,41.01416066,1,1.51E-10,0
160991:24:-,38.25910528,1,6.19E-10,0
160991:26:-,16.69133682,1,4.40E-05,0.001
160991:51:-,100.4129526,1,0,0
160991:95:-,0.560996107,1,0.453859174,0.43
160991:137:-,130.8988841,1,0,0
161107:33:-,44.77566714,1,2.21E-11,0
161107:40:-,80.2053089,1,0,0
161107:43:-,66.88349372,1,3.33E-16,0
161107:92:-,23.70302571,1,1.12E-06,0.001
161179:40:-,94.10534384,1,0,0
161325:12:+,14.54711934,1,0.000136697,0.006
161325:68:+,32.72062324,1,1.06E-08,0
161325:121:+,17.63287726,1,2.68E-05,0.003
161388:36:+,29.04610909,1,7.07E-08,0
161388:41:+,76.97092801,1,0,0
161388:46:+,57.42257824,1,3.52E-14,0
161388:55:+,28.91392304,1,7.57E-08,0
161388:104:+,156.3389432,1,0,0
161388:126:+,21.19776547,1,4.14E-06,0.001
161465:9:-,45.79443576,1,1.31E-11,0
161465:14:-,104.3487991,1,0,0
161465:17:-,55.86856846,1,7.75E-14,0
161465:49:-,71.54993247,1,0,0
161465:51:-,73.56557568,1,0,0
161465:67:-,13.73600651,1,0.000210382,0.002
161465:98:-,70.2462,1,0,0
161465:106:-,100.2475144,1,0,0
161465:126:-,70.2462,1,0,0
161465:128:-,94.96422722,1,0,0
161465:156:-,33.65772887,1,6.57E-09,0
161465:165:-,59.5367904,1,1.20E-14,0
161465:184:-,35.7627721,1,2.23E-09,0
161465:217:-,58.96612923,1,1.60E-14,0
161465:236:-,42.9550714,1,5.60E-11,0
161465:288:-,80.82924543,1,0,0
161465:290:-,66.56504991,1,3.33E-16,0
161625:8:-,28.14774526,1,1.12E-07,0
161625:69:-,6.669626233,1,0.009806975,0.04
161625:76:-,78.18954112,1,0,0
161625:87:-,15.15612888,1,9.90E-05,0.003
161625:95:-,32.71698113,1,1.07E-08,0
161625:101:-,88.95488405,1,0,0
161625:106:-,60.61427794,1,6.99E-15,0
161657:125:-,43.04536688,1,5.35E-11,0
161657:139:-,104.1213091,1,0,0
161777:72:+,24.30873799,1,8.21E-07,0
161777:75:+,6.896442083,1,0.008636746,0.03
161777:106:+,6.896442083,1,0.008636746,0.037
161777:127:+,70.28473199,1,0,0
161777:139:+,6.896442083,1,0.008636746,0.022
161777:154:+,31.35897618,1,2.14E-08,0
161777:194:+,14.47664804,1,0.000141908,0.011
161777:238:+,13.28815602,1,0.000267088,0.004
161777:240:+,70.23346905,1,0,0
161777:242:+,51.88319459,1,5.89E-13,0
161777:243:+,21.20061638,1,4.14E-06,0
161777:255:+,16.0142532,1,6.29E-05,0.005
161959:8:+,34.50079963,1,4.26E-09,0
161959:13:+,24.35547349,1,8.01E-07,0
161959:32:+,80.96581737,1,0,0
161959:52:+,105.9870571,1,0,0
161959:55:+,7.77603459,1,0.005294389,0.021
161959:69:+,46.51082186,1,9.11E-12,0
161959:114:+,51.89833348,1,5.85E-13,0
161959:122:+,51.20946623,1,8.30E-13,0
161959:123:+,32.23301555,1,1.37E-08,0
161996:88:+,29.39002458,1,5.92E-08,0
161996:110:+,21.59588447,1,3.37E-06,0
161996:113:+,12.2962949,1,0.000453858,0
161996:237:+,13.60197458,1,0.000225948,0.001
161996:279:+,9.372269789,1,0.002202926,0.006
161996:327:+,1.52124183,1,0.217431664,0.192
161996:343:+,5.828868596,1,0.01576526,0.019
162074:80:+,77.5716346,1,0,0
162074:110:+,41.9779365,1,9.23E-11,0
162074:123:+,22.7590104,1,1.84E-06,0
162499:53:-,14.40133768,1,0.000147697,0.001
162499:83:-,16.52571727,1,4.80E-05,0
162499:134:-,36.75859835,1,1.34E-09,0
162694:7:-,43.83358122,1,3.58E-11,0
162694:65:-,46.10913761,1,1.12E-11,0
162694:72:-,38.58943712,1,5.23E-10,0
162694:75:-,71.13022575,1,0,0
162694:103:-,39.52562377,1,3.24E-10,0
162694:114:-,108.7048122,1,0,0
162694:125:-,122.3671487,1,0,0
162694:259:-,142.6458705,1,0,0
162694:284:-,99.37280567,1,0,0
162694:293:-,30.94200514,1,2.66E-08,0
162694:294:-,93.93184708,1,0,0
162694:304:-,47.86959475,1,4.56E-12,0
162704:23:+,93.69316655,1,0,0
162704:37:+,60.24471965,1,8.33E-15,0
162704:51:+,56.40028982,1,5.92E-14,0
162704:55:+,122.3208305,1,0,0
162704:57:+,79.31597824,1,0,0
162704:60:+,39.18346113,1,3.86E-10,0
162704:71:+,82.00293596,1,0,0
162704:73:+,56.40028982,1,5.92E-14,0
162704:82:+,33.46052918,1,7.27E-09,0
162704:84:+,38.41264046,1,5.73E-10,0
162704:123:+,48.25333631,1,3.75E-12,0
162704:129:+,33.77763989,1,6.18E-09,0
162704:132:+,26.44895139,1,2.71E-07,0
162704:134:+,47.28751101,1,6.13E-12,0
162740:20:-,52.98052645,1,3.37E-13,0
162740:21:-,79.08709491,1,0,0
162740:23:-,41.73422614,1,1.05E-10,0
162740:25:-,55.96462221,1,7.38E-14,0
162740:39:-,50.95755042,1,9.44E-13,0
162740:140:-,71.60908555,1,0,0
162741:321:+,1.470791661,1,0.225220829,0.224
163359:22:+,73.78888043,1,0,0
163359:83:+,21.60856875,1,3.34E-06,0.003
163359:92:+,56.73446746,1,4.98E-14,0
163359:98:+,62.41253526,1,2.78E-15,0
163400:76:-,131.823554,1,0,0
163400:93:-,79.1676207,1,0,0
163400:213:-,66.86532443,1,3.33E-16,0
163400:274:-,65.22295643,1,6.66E-16,0
163400:289:-,50.09566603,1,1.46E-12,0
163400:307:-,74.11589551,1,0,0
163400:317:-,43.22976862,1,4.87E-11,0
163865:23:+,0.015363462,1,0.901355313,0.609
163865:103:+,4.303332587,1,0.038037766,0.049
163865:124:+,0.929695893,1,0.334941959,1
163865:189:+,14.92751263,1,0.000111722,0
163865:190:+,52.66558407,1,3.95E-13,0
163865:202:+,14.22939623,1,0.000161823,0
163865:216:+,58.66519141,1,1.87E-14,0
164279:52:+,104.8477253,1,0,0
164279:69:+,72.2111281,1,0,0
164279:116:+,63.15427453,1,1.89E-15,0
164279:124:+,79.35040088,1,0,0
164336:51:+,134.8903313,1,0,0
164338:110:-,78.09741217,1,0,0
164338:125:-,69.9430047,1,1.11E-16,0
164338:311:-,72.80626983,1,0,0
164464:23:-,7.792717515,1,0.005245724,0.012
164464:25:-,5.714138531,1,0.01682882,0.023
164464:59:-,5.905948093,1,0.015089842,0.016
164464:73:-,4.906049572,1,0.026762783,0.028
164464:109:-,5.612600674,1,0.017831779,0.017
164464:118:-,4.603148364,1,0.031913299,0.064
164464:129:-,4.906049572,1,0.026762783,0.032
164464:174:-,0.550098176,1,0.458277582,0.402
164549:83:-,14.34259769,1,0.000152378,0
164549:91:-,17.49182091,1,2.89E-05,0
164549:98:-,29.656298,1,5.16E-08,0
164549:122:-,4.969889346,1,0.025792298,0.038
164549:167:-,5.402822286,1,0.020104216,0.054
164561:19:+,38.04095691,1,6.93E-10,0
164561:25:+,36.71351833,1,1.37E-09,0
164561:48:+,148.8925775,1,0,0
164561:53:+,161.0945449,1,0,0
164561:59:+,33.94641083,1,5.67E-09,0
164561:71:+,38.40294859,1,5.75E-10,0
164561:90:+,140.3155352,1,0,0
164561:101:+,151.6123374,1,0,0
164561:116:+,35.12843758,1,3.09E-09,0
164561:238:+,119.8991442,1,0,0
164561:276:+,175.8412548,1,0,0
164561:311:+,119.2819275,1,0,0
164561:325:+,175.8328962,1,0,0
164763:11:+,76.03262763,1,0,0
164763:49:+,73.14844458,1,0,0
164763:51:+,200.7006394,1,0,0
164763:74:+,78.58583005,1,0,0
164763:93:+,196.0684572,1,0,0
164763:94:+,218.8516224,1,0,0
164763:108:+,217.6781676,1,0,0
164764:33:-,82.12170536,1,0,0
164764:40:-,53.37115064,1,2.76E-13,0
164764:64:-,75.39383063,1,0,0
164764:67:-,82.12170536,1,0,0
164764:88:-,91.99916044,1,0,0
164764:111:-,63.45294177,1,1.67E-15,0
164764:117:-,74.99742993,1,0,0
164764:124:-,77.53974179,1,0,0
164770:6:-,44.4600996,1,2.60E-11,0
164770:29:-,37.36924917,1,9.78E-10,0
164770:42:-,17.10123848,1,3.54E-05,0
164770:57:-,73.57118191,1,0,0
164770:60:-,49.81551719,1,1.69E-12,0
164770:84:-,20.00058957,1,7.74E-06,0
164946:11:-,13.45126955,1,0.00024484,0.002
164946:15:-,101.9497943,1,0,0
164946:71:-,49.90112646,1,1.62E-12,0
164946:90:-,101.9497943,1,0,0
164946:91:-,12.50795717,1,0.000405222,0.005
164946:109:-,101.9497943,1,0,0
165300:11:+,5.132237616,1,0.023485432,0.037
165300:39:+,3.731847883,1,0.053384303,0.083
165300:52:+,5.210680238,1,0.02244855,0.049
165300:136:+,17.95530539,1,2.26E-05,0
165317:43:-,94.77980459,1,0,0
165317:61:-,152.733416,1,0,0
165317:71:-,166.962324,1,0,0
165317:139:-,155.0711698,1,0,0
165333:6:-,83.91742529,1,0,0
165333:18:-,56.52512821,1,5.55E-14,0
165333:22:-,100.8042217,1,0,0
165333:28:-,5.750376041,1,0.016485128,0.045
165333:42:-,84.81942425,1,0,0
165333:109:-,45.12188801,1,1.85E-11,0
165333:128:-,51.40763903,1,7.51E-13,0
165353:47:-,2.055437862,1,0.15166365,0.131
165353:123:-,209.828663,1,0,0
165353:124:-,52.8149219,1,3.66E-13,0
165353:149:-,198.6719086,1,0,0
165353:199:-,173.6413587,1,0,0
165389:20:+,21.17443665,1,4.19E-06,0
165389:35:+,26.59484338,1,2.51E-07,0
165389:56:+,15.34193762,1,8.97E-05,0.001
165389:93:+,30.75056386,1,2.93E-08,0
165389:128:+,29.04532622,1,7.07E-08,0
165389:129:+,29.35726641,1,6.02E-08,0
165389:149:+,41.02364277,1,1.50E-10,0
165389:163:+,22.48461057,1,2.12E-06,0
165389:221:+,36.47566943,1,1.55E-09,0
165389:235:+,26.24121894,1,3.01E-07,0
165389:248:+,28.57571112,1,9.01E-08,0
165443:24:-,6.304700398,1,0.012041826,0.01
165443:125:-,82.23192544,1,0,0
165443:163:-,4.437466416,1,0.035158386,0.055
165443:183:-,3.538929151,1,0.05994415,0.079
165443:193:-,5.699188607,1,0.016972758,0.035
165443:250:-,5.376594505,1,0.020408678,0.03
165443:251:-,82.60409263,1,0,0
165443:258:-,2.621232121,1,0.105442537,0.139
165489:32:+,19.73791996,1,8.88E-06,0
165489:50:+,14.66231503,1,0.000128592,0
165489:68:+,59.4772424,1,1.23E-14,0
165489:69:+,21.07250548,1,4.42E-06,0
165489:110:+,2.158235687,1,0.141807433,0.146
165489:141:+,19.53693182,1,9.87E-06,0.001
165489:143:+,19.33597466,1,1.10E-05,0
165489:148:+,19.53693182,1,9.87E-06,0.001
165489:161:+,65.59682038,1,5.55E-16,0
165498:7:-,8.501364553,1,0.003548802,0.004
165498:22:-,64.34462307,1,9.99E-16,0
165498:84:-,38.3911372,1,5.79E-10,0
165498:96:-,25.33024056,1,4.83E-07,0
165498:118:-,19.88688333,1,8.22E-06,0
165498:319:-,15.99737003,1,6.34E-05,0
165498:352:-,13.35415341,1,0.000257851,0
165498:371:-,35.43879269,1,2.63E-09,0
165514:6:+,4.882334657,1,0.027132896,0.046
165514:15:+,5.410313834,1,0.020018117,0.034
165514:22:+,5.498683536,1,0.019030795,0.029
165514:46:+,174.7651332,1,0,0
165514:70:+,7.278482077,1,0.006978548,0.012
165514:100:+,5.964905961,1,0.014593379,0.026
165514:104:+,4.068049727,1,0.043701704,0.06
165514:132:+,8.591847497,1,0.003376713,0.004
165804:80:-,32.54946572,1,1.16E-08,0
165807:21:-,24.24046937,1,8.50E-07,0
165807:23:-,7.041678749,1,0.007963435,0.021
165807:40:-,58.87051592,1,1.69E-14,0
165807:42:-,24.24046937,1,8.50E-07,0
165807:44:-,54.64293349,1,1.45E-13,0
165807:53:-,145.5164032,1,0,0
165807:64:-,60.58029528,1,7.11E-15,0
165807:65:-,73.95007246,1,0,0
165807:68:-,24.24046937,1,8.50E-07,0.001
165807:81:-,66.75669427,1,3.33E-16,0
165807:89:-,58.87051592,1,1.69E-14,0
165807:94:-,51.96321883,1,5.66E-13,0
165807:116:-,63.45596298,1,1.67E-15,0
165807:152:-,52.13233252,1,5.19E-13,0
165807:158:-,28.36811706,1,1.00E-07,0
165807:192:-,86.70690595,1,0,0
165807:193:-,56.18198207,1,6.61E-14,0
165807:225:-,48.79327416,1,2.84E-12,0
165807:237:-,47.14055303,1,6.61E-12,0
165807:253:-,77.47885614,1,0,0
165807:256:-,48.19880308,1,3.85E-12,0
165807:267:-,22.56295917,1,2.03E-06,0
165807:268:-,36.03193996,1,1.94E-09,0
165807:269:-,48.83380348,1,2.79E-12,0
165807:270:-,65.81120442,1,4.44E-16,0
165807:274:-,63.72300259,1,1.44E-15,0
165807:275:-,63.72300259,1,1.44E-15,0
165914:38:+,4.727640354,1,0.029681579,0.063
165914:59:+,3.18382276,1,0.074370549,0.089
165914:103:+,2.287027067,1,0.130459598,0.138
166266:11:-,3.442100572,1,0.063554841,0.087
166266:28:-,0.539872512,1,0.462485566,0.425
166266:52:-,11.51848566,1,0.000689075,0.003
166266:53:-,12.18466362,1,0.00048184,0
166266:64:-,10.87823387,1,0.00097301,0.003
166266:75:-,6.692731974,1,0.009680674,0.027
166266:81:-,12.28040306,1,0.00045774,0.001
166266:122:-,11.51848566,1,0.000689075,0.002
166266:125:-,0.539872512,1,0.462485566,0.409
166266:128:-,4.161622516,1,0.041349776,0.048
166266:137:-,2.262551903,1,0.132535503,0.149
166266:172:-,34.93675586,1,3.41E-09,0
166266:182:-,9.832940659,1,0.001714141,0.002
166266:191:-,16.88199857,1,3.98E-05,0
166266:196:-,17.16528163,1,3.43E-05,0
166266:200:-,15.38543926,1,8.77E-05,0
166266:204:-,19.50369479,1,1.00E-05,0
166266:206:-,17.63652433,1,2.67E-05,0
166266:214:-,23.50437288,1,1.25E-06,0
166495:22:-,69.34457353,1,1.11E-16,0
166495:49:-,25.93389762,1,3.53E-07,0
166495:59:-,19.20723645,1,1.17E-05,0
166495:80:-,64.94790309,1,7.77E-16,0
167536:28:-,234.9019257,1,0,0
167536:46:-,151.48097,1,0,0
167536:114:-,149.2820582,1,0,0
167572:24:-,1.041863869,1,0.307388381,0.286
167572:25:-,1.041863869,1,0.307388381,0.274
167572:39:-,0.020095185,1,0.887271566,1
167572:131:-,0.300380126,1,0.583644214,0.636
167724:15:+,164.802825,1,0,0
167724:30:+,27.09285287,1,1.94E-07,0
167724:39:+,36.66372293,1,1.40E-09,0
167724:42:+,31.0126177,1,2.56E-08,0
167724:81:+,46.1965769,1,1.07E-11,0
167724:87:+,57.25095755,1,3.84E-14,0
167724:95:+,56.78426113,1,4.86E-14,0
167724:100:+,49.79278303,1,1.71E-12,0
167724:102:+,36.93206842,1,1.22E-09,0
167724:112:+,41.83002731,1,9.96E-11,0
167724:134:+,153.2016678,1,0,0
167724:141:+,28.51737624,1,9.29E-08,0
167724:146:+,39.75883455,1,2.87E-10,0
167724:154:+,38.60554486,1,5.19E-10,0
167724:219:+,41.2914016,1,1.31E-10,0
167854:32:-,143.7838357,1,0,0
167854:62:-,42.03329818,1,8.97E-11,0
167854:85:-,66.52617491,1,3.33E-16,0
167854:110:-,117.8189726,1,0,0
167854:124:-,143.7838357,1,0,0
167854:145:-,48.03683494,1,4.18E-12,0
167854:239:-,38.06342824,1,6.85E-10,0
167854:262:-,26.68376222,1,2.40E-07,0
167854:264:-,64.72749858,1,8.88E-16,0
168154:6:+,40.22909774,1,2.26E-10,0
168154:12:+,0.557013091,1,0.455466223,0.727
168154:33:+,2.213217098,1,0.13683306,0.141
168154:61:+,3.23790885,1,0.071952421,0.099
168154:79:+,2.312858256,1,0.12830792,0.143
168154:207:+,51.34580358,1,7.74E-13,0
168154:214:+,58.64841633,1,1.89E-14,0
168154:232:+,89.49236609,1,0,0
168154:248:+,87.77061781,1,0,0
168154:295:+,55.25241754,1,1.06E-13,0
168154:306:+,99.0436854,1,0,0
168262:8:+,28.19072334,1,1.10E-07,0
168262:20:+,33.01240109,1,9.16E-09,0
168262:41:+,31.02888041,1,2.54E-08,0
168262:63:+,18.36388398,1,1.82E-05,0
168262:87:+,29.68207594,1,5.09E-08,0
168262:90:+,31.44064523,1,2.06E-08,0
168262:91:+,19.62522798,1,9.42E-06,0
168262:102:+,44.41906308,1,2.65E-11,0
168262:127:+,32.54218711,1,1.17E-08,0
168306:18:+,44.46649267,1,2.59E-11,0
168306:42:+,42.74652643,1,6.23E-11,0
168306:53:+,209.8629053,1,0,0
168306:72:+,42.74652643,1,6.23E-11,0
168306:84:+,90.58618311,1,0,0
168333:8:+,19.07409145,1,1.26E-05,0
168333:18:+,6.932592654,1,0.008463891,0.011
168333:29:+,22.02900029,1,2.69E-06,0
168333:53:+,55.48017165,1,9.44E-14,0
168333:97:+,17.14013701,1,3.47E-05,0
168333:103:+,16.48543123,1,4.90E-05,0
168333:140:+,18.44149727,1,1.75E-05,0
168525:320:+,18.88165843,1,1.39E-05,0.001
168734:10:-,74.41958411,1,0,0
168734:11:-,58.8784242,1,1.68E-14,0
168734:51:-,39.21802846,1,3.79E-10,0
168734:65:-,187.2922892,1,0,0
168734:78:-,187.2922892,1,0,0
168734:97:-,84.58880616,1,0,0
168734:98:-,59.65909227,1,1.13E-14,0
168734:106:-,182.67152,1,0,0
168734:110:-,53.78627978,1,2.23E-13,0
168734:122:-,59.65909227,1,1.13E-14,0
168734:139:-,84.47241205,1,0,0
168881:123:-,23.3822128,1,1.33E-06,0
168881:172:-,5.631221086,1,0.017643337,0.04
168881:188:-,3.693181818,1,0.054635298,0.065
168881:209:-,43.2245211,1,4.88E-11,0
168896:15:+,55.70290008,1,8.43E-14,0
168896:61:+,50.36717928,1,1.28E-12,0
168896:111:+,22.66777743,1,1.93E-06,0
169013:13:+,6.708829809,1,0.009593666,0.031
169013:21:+,3.808194249,1,0.051002407,0.081
169013:39:+,2.717806144,1,0.099234323,0.127
169013:47:+,38.62380969,1,5.14E-10,0
169013:49:+,10.67123717,1,0.001088143,0.002
169013:54:+,23.42152204,1,1.30E-06,0
169013:67:+,16.27075285,1,5.49E-05,0
169013:111:+,26.2439841,1,3.01E-07,0.001
169618:12:+,33.34575675,1,7.71E-09,0
169618:13:+,23.5894632,1,1.19E-06,0
169618:101:+,4.895612783,1,0.026925016,0.035
169618:105:+,46.91598537,1,7.41E-12,0
169618:265:+,73.49014622,1,0,0
169618:266:+,73.49014622,1,0,0
169618:273:+,7.483301152,1,0.00622738,0.011
169618:295:+,102.7311623,1,0,0
169806:43:+,6.171455196,1,0.012982778,0.02
169806:58:+,161.5847411,1,0,0
169806:89:+,206.0756638,1,0,0
169806:120:+,8.138464117,1,0.004333598,0.018
169806:181:+,125.2813219,1,0,0
169806:190:+,6.973901384,1,0.008270698,0.03
169806:194:+,17.58985636,1,2.74E-05,0
169806:198:+,17.58985636,1,2.74E-05,0.001
169806:232:+,126.5013674,1,0,0
169806:248:+,128.1361148,1,0,0
169806:272:+,159.0663723,1,0,0
169806:289:+,145.1033348,1,0,0
169806:294:+,168.5680649,1,0,0
169860:97:+,0.400035395,1,0.527070978,0.548
169860:133:+,140.0784076,1,0,0
170626:40:+,104.1753881,1,0,0
170626:51:+,53.39013481,1,2.73E-13,0
170626:54:+,96.12821014,1,0,0
170626:59:+,105.1656586,1,0,0
170626:69:+,67.57036803,1,2.22E-16,0
170626:133:+,57.00102666,1,4.35E-14,0
170771:42:-,2.796518176,1,0.094469253,0.088
170771:43:-,142.9187986,1,0,0
170771:66:-,2.360163989,1,0.124469104,0.138
170771:102:-,1.188763117,1,0.275579192,0.271
170771:111:-,14.90777158,1,0.000112897,0.002
170771:126:-,14.0201354,1,0.000180863,0
170771:134:-,0.269953653,1,0.603362864,0.471
170771:152:-,1.157820444,1,0.28191802,0.331
170771:153:-,1.1394929,1,0.285759506,0.326
170771:166:-,7.416744343,1,0.006461964,0.019
170771:193:-,5.706323712,1,0.016903903,0.027
171031:7:-,53.25457136,1,2.93E-13,0
171094:9:-,166.7397033,1,0,0
171094:34:-,183.6439475,1,0,0
171094:35:-,17.71755245,1,2.56E-05,0
171094:133:-,18.81306935,1,1.44E-05,0
172075:25:-,0.539709524,1,0.462553134,0.364
172075:49:-,9.734498123,1,0.001808414,0.003
172075:89:-,18.57804123,1,1.63E-05,0
172075:93:-,13.92867534,1,0.000189879,0
172075:97:-,2.856195305,1,0.09102256,0.115
172075:100:-,9.285085243,1,0.002310272,0.004
172075:103:-,3.220700152,1,0.072712523,0.089
172075:120:-,6.162064718,1,0.013051877,0.026
172075:122:-,129.025908,1,0,0
172141:32:-,163.940686,1,0,0
172141:34:-,163.940686,1,0,0
172141:50:-,141.731912,1,0,0
172141:84:-,110.335277,1,0,0
172141:132:-,140.8011429,1,0,0
172141:256:-,0.002756466,1,0.958128656,1
172141:258:-,180.4354809,1,0,0
172141:299:-,15.0940281,1,0.000102286,0.001
172141:323:-,2.215423881,1,0.136637528,0.117
172141:325:-,2.215423881,1,0.136637528,0.126
172144:81:+,125.8408515,1,0,0
172157:24:-,57.4917772,1,3.40E-14,0
172157:35:-,139.9705204,1,0,0
172157:73:-,140.4977808,1,0,0
172157:102:-,2.372004824,1,0.12352832,0.123
172334:14:+,208.9258584,1,0,0
172334:61:+,24.06657501,1,9.31E-07,0
172334:79:+,22.15190495,1,2.52E-06,0
172334:118:+,98.54145324,1,0,0
172334:121:+,98.54145324,1,0,0
172334:203:+,32.35925807,1,1.28E-08,0
172334:223:+,220.7570961,1,0,0
172334:284:+,227.8965812,1,0,0
172336:16:+,109.1146448,1,0,0
172336:67:+,0.364783699,1,0.54586142,0.616
172336:74:+,142.2108319,1,0,0
172336:77:+,154.370219,1,0,0
172336:117:+,97.59451335,1,0,0
172336:126:+,0.446402825,1,0.504048164,0.362
172336:127:+,0.364783699,1,0.54586142,0.636
172336:153:+,74.51035004,1,0,0
172336:165:+,59.73113595,1,1.09E-14,0
172336:268:+,0.364783699,1,0.54586142,0.647
172408:16:+,247.8976987,1,0,0
172408:119:+,251.110134,1,0,0
172408:121:+,0.967781432,1,0.325234107,0.309
172408:128:+,0.954889219,1,0.328477903,0.295
172408:132:+,3.208181432,1,0.073270879,0.095
172600:39:+,0.957787516,1,0.327744942,0.481
172600:71:+,57.09849196,1,4.14E-14,0
172600:101:+,175.643367,1,0,0
172770:29:+,90.16400271,1,0,0
172770:96:+,86.47486731,1,0,0
172770:97:+,190.3518457,1,0,0
172770:127:+,89.83598198,1,0,0
172770:132:+,139.7327995,1,0,0
172832:18:-,25.15729553,1,5.28E-07,0
172832:48:-,79.93235768,1,0,0
172832:118:-,190.8031521,1,0,0
172832:123:-,18.61324198,1,1.60E-05,0
172832:139:-,29.92633069,1,4.49E-08,0
173224:56:+,136.8344994,1,0,0
173224:63:+,126.2664833,1,0,0
174195:13:-,99.61875675,1,0,0
174195:23:-,78.43695093,1,0,0
174195:42:-,11.28591798,1,0.000780972,0.002
174195:86:-,13.32682525,1,0.000261636,0
174195:115:-,102.9289687,1,0,0
174248:127:-,188.1224144,1,0,0
174248:173:-,2.068106996,1,0.15040811,0.165
174356:38:+,4.391214079,1,0.03612458,0.061
174356:52:+,27.19122125,1,1.84E-07,0
174356:62:+,25.93679771,1,3.53E-07,0
174356:71:+,26.59120978,1,2.51E-07,0
174356:138:+,3.825129731,1,0.050489439,0.039
174450:24:+,169.6391687,1,0,0
174450:72:+,71.44548749,1,0,0
174450:101:+,147.9027693,1,0,0
174450:131:+,150.6008057,1,0,0
174632:66:-,2.880537346,1,0.089656099,0.116
174632:82:-,12.45604097,1,0.000416642,0.001
174632:112:-,14.00595304,1,0.000182233,0.001
174632:116:-,11.76758055,1,0.000602713,0
174632:158:-,12.11610073,1,0.000499883,0
